names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Buông Đôi Tay Nhau Ra,Pop/Ballad,0.705,0.72,8,-7.135,0,0.0291,0.639,0.513,0.10800000000000001,0.634,110.96,227492
Lạc Trôi,Pop/Ballad,0.639,0.873,9,-3.6460000000000004,0,0.0399,0.331,0.0326,0.133,0.166,135.062,232889
Chắc Ai Đó Sẽ Về,Pop/Ballad,0.531,0.65,4,-7.763999999999999,0,0.0809,0.9229999999999999,0.782,0.151,0.386,137.85299999999998,262164
Không Phải Dạng Vừa Đâu,Pop/Ballad,0.71,0.809,1,-5.4239999999999995,0,0.05,0.64,0.0025399999999999997,0.0913,0.871,95.022,247635
Chúng Ta Không Thuộc Về Nhau,Pop/Ballad,0.75,0.835,9,-4.698,0,0.0341,0.24100000000000002,0.00020899999999999998,0.153,0.48700000000000004,102.992,233010
Âm Thầm Bên Em,Pop/Ballad,0.498,0.462,10,-9.152999999999999,1,0.0273,0.883,0.0033799999999999998,0.128,0.107,140.083,293112
Nơi Này Có Anh,Pop/Ballad,0.52,0.853,0,-5.249,1,0.0303,0.0446,0.000974,0.14400000000000002,0.32799999999999996,91.994,260117
CHẠY NGAY ĐI,Pop/Ballad,0.728,0.8059999999999999,2,-3.824,0,0.0504,0.423,0.0,0.0883,0.45299999999999996,127.02,272508
Hãy Trao Cho Anh,Pop/Ballad,0.715,0.7240000000000001,3,-4.854,0,0.0425,0.0897,0.000269,0.157,0.818,96.014,245659
Lời Nguyền,Pop/Ballad,0.579,0.33299999999999996,9,-6.555,0,0.0277,0.43,0.0,0.17300000000000001,0.2,79.979,325695
Đợi Chờ Là Hạnh Phúc,Pop/Ballad,0.799,0.6459999999999999,1,-5.928999999999999,0,0.0303,0.6970000000000001,0.0,0.0757,0.5329999999999999,120.016,256940
Mùa Đông Không Lạnh,Pop/Ballad,0.7559999999999999,0.54,1,-6.166,0,0.028999999999999998,0.565,0.00014199999999999998,0.342,0.218,95.001,279824
Chiec Khan Gio Am,Pop/Ballad,0.6729999999999999,0.667,0,-6.324,1,0.0298,0.0415,0.0,0.059000000000000004,0.674,105.035,270397
Anh Sai Rồi,Pop/Ballad,0.7140000000000001,0.591,3,-4.428999999999999,0,0.0309,0.515,0.0,0.115,0.33299999999999996,120.066,299781
Yêu Thương Quay Về,Pop/Ballad,0.71,0.521,2,-6.846,0,0.0277,0.7120000000000001,5.71e-06,0.0972,0.5379999999999999,115.98700000000001,262253
Sẽ Có Người Cần Anh,Pop/Ballad,0.45,0.43200000000000005,11,-6.391,1,0.032,0.797,0.0,0.0785,0.195,159.753,320827
Con Đường Mưa,Pop/Ballad,0.521,0.596,7,-5.406000000000001,0,0.0341,0.261,0.0,0.35600000000000004,0.36,169.47099999999998,306347
Quên,Pop/Ballad,0.426,0.446,7,-5.79,0,0.03,0.843,9.93e-06,0.14300000000000002,0.161,179.888,263640
Cầu Vòng Sau Mưa,Pop/Ballad,0.629,0.433,5,-3.963,0,0.0251,0.8,3.27e-06,0.373,0.361,135.994,296080
Bình Yên Nhé,Pop/Ballad,0.672,0.505,7,-3.951,0,0.0305,0.758,1.67e-06,0.0795,0.374,115.764,283173
Pha Lê Tím,Pop/Ballad,0.253,0.6629999999999999,11,-1.875,0,0.0318,0.799,3.229999999999999e-05,0.129,0.251,150.063,294520
Tìm Lại Bầu Trời,Pop/Ballad,0.564,0.377,10,-10.237,1,0.0233,0.6559999999999999,0.0,0.11199999999999999,0.42,89.98200000000001,328803
Cầu Vồng Khuyết,Pop/Ballad,0.687,0.498,11,-7.352,1,0.0334,0.243,6.21e-06,0.10800000000000001,0.451,122.016,254067
Anh Nhớ Em,Pop/Ballad,0.619,0.531,9,-7.2620000000000005,0,0.0283,0.7390000000000001,1.18e-06,0.11599999999999999,0.322,115.022,257841
Dĩ Vãng Cuộc Tình,Pop/Ballad,0.528,0.51,11,-5.397,0,0.0278,0.45299999999999996,0.0,0.105,0.271,81.17699999999999,267572
Hối Hận Trong Anh,Pop/Ballad,0.606,0.22399999999999998,11,-15.014000000000001,0,0.0332,0.77,0.0,0.133,0.191,120.065,280085
